cwnd:vector Network_three_routers.client.tcp.conn-14 (#0 - WS_enabled-0-20200805-20:00:33-23494),,cwnd:vector Network_three_routers.other_client.tcp.conn-15 (#0 - WS_enabled-0-20200805-20:00:33-23494),
0.043018992,296934,2.423071062764,34667
0.043138912,148830,2.423190982764,34727
1.084119894764,1452,2.423310902764,34787
1.084391990764,2904,2.423430822764,34847
1.084664086764,4356,2.423550742764,34907
1.084936182764,5808,2.423670662764,34967
1.085176022764,7260,2.423790582764,35027
1.085415862764,8712,2.423910502764,35087
1.085655702764,10164,2.424030422764,35147
1.085895542764,11616,2.424150342764,35206
1.086135382764,13068,2.424270262764,35265
1.086375222764,14520,2.424390182764,35324
1.086615062764,15972,2.424510102764,35383
1.086854902764,17424,2.424630022764,35442
1.087094742764,18876,2.424749942764,35501
1.087334582764,20328,2.424869862764,35560
1.087574422764,21780,2.424989782764,35619
1.087814262764,23232,2.425109702764,35678
1.088054102764,24684,2.425229622764,35737
1.088293942764,26136,2.425349542764,35795
1.088533782764,27588,2.425469462764,35853
1.088773622764,29040,2.425589382764,35911
1.089013462764,30492,2.425709302764,35969
1.089253302764,31944,2.425829222764,36027
1.089493142764,33396,2.425949142764,36085
1.089732982764,34848,2.426069062764,36143
1.089972822764,36300,2.426188982764,36201
1.090212662764,37752,2.426308902764,36259
1.090452502764,39204,2.426428822764,36317
1.090692342764,40656,2.426548742764,36375
1.090932182764,42108,2.426668662764,36432
1.091172022764,43560,2.426788582764,36489
1.091411862764,45012,2.426908502764,36546
1.091651702764,46464,2.427028422764,36603
1.091891542764,47916,2.427148342764,36660
1.092131382764,49368,2.427268262764,36717
1.092371222764,50820,2.427388182764,36774
1.092611062764,52272,2.427508102764,36831
1.092850902764,53724,2.427628022764,36888
1.093090742764,55176,2.427747942764,36945
1.093330582764,56628,2.427867862764,37002
1.093570422764,58080,2.427987782764,37058
1.093810262764,59532,2.428107702764,37114
1.094050102764,60984,2.428227622764,37170
1.094289942764,62436,2.428347542764,37226
1.094529782764,63888,2.428467462764,37282
1.094769622764,65340,2.428587382764,37338
1.095009462764,66792,2.428707302764,37394
1.095249302764,68244,2.428827222764,37450
1.095489142764,69696,2.428947142764,37506
1.095728982764,71148,2.429067062764,37562
1.095968822764,72600,2.429186982764,37618
1.096208662764,74052,2.429306902764,37674
1.096448502764,75504,2.429426822764,37729
1.096688342764,75531,2.429546742764,37784
1.096928182764,75558,2.429666662764,37839
1.097168022764,75585,2.429786582764,37894
1.097407862764,75612,2.429906502764,37949
1.097647702764,75639,2.430026422764,38004
1.097887542764,75666,2.430146342764,38059
1.098127382764,75693,2.430266262764,38114
1.098367222764,75720,2.430386182764,38169
1.098607062764,75747,2.430506102764,38224
1.098846902764,75774,2.430626022764,38279
